timestamp,station_id,city,pm10,pm25,no2,o3,temperature,humidity,wind_speed,wind_direction,precipitation,aqi
2026-06-26 00:00:00,station_bangalore_01,Bangalore,9.0,6.7,14.8,31.0,21.5,87,11.8,W,0.0,11.166666666666666
2026-06-26 01:00:00,station_bangalore_01,Bangalore,9.0,6.4,12.7,32.0,20.8,91,11.5,W,0.0,10.666666666666666
2026-06-26 02:00:00,station_bangalore_01,Bangalore,9.1,6.3,11.2,33.0,20.5,92,10.3,W,0.0,10.5
2026-06-26 03:00:00,station_bangalore_01,Bangalore,9.0,6.2,11.0,31.0,20.3,93,9.6,W,0.0,10.333333333333334
2026-06-26 04:00:00,station_bangalore_01,Bangalore,8.9,6.3,11.4,29.0,20.2,93,9.1,W,0.0,10.5
2026-06-26 05:00:00,station_bangalore_01,Bangalore,9.7,6.2,9.9,33.0,21.2,89,10.3,W,0.0,10.333333333333334
2026-06-26 06:00:00,station_bangalore_01,Bangalore,11.4,7.4,10.0,34.0,21.0,91,9.9,W,0.0,12.333333333333334
2026-06-26 07:00:00,station_bangalore_01,Bangalore,14.0,8.6,10.0,35.0,22.1,86,12.6,W,0.0,14.333333333333334
2026-06-26 08:00:00,station_bangalore_01,Bangalore,15.1,8.6,9.5,39.0,23.5,77,14.2,W,0.0,14.333333333333334
2026-06-26 09:00:00,station_bangalore_01,Bangalore,13.7,8.0,7.7,47.0,25.0,68,15.7,W,0.0,13.333333333333334
2026-06-26 10:00:00,station_bangalore_01,Bangalore,11.0,6.7,5.4,58.0,26.0,63,15.8,W,0.2,11.166666666666666
2026-06-26 11:00:00,station_bangalore_01,Bangalore,9.1,5.6,3.8,65.0,27.0,57,15.8,W,0.4,9.333333333333334
2026-06-26 12:00:00,station_bangalore_01,Bangalore,7.9,5.0,3.3,66.0,28.3,51,15.7,W,0.2,8.333333333333334
2026-06-26 13:00:00,station_bangalore_01,Bangalore,7.0,4.4,3.6,64.0,28.9,48,16.1,W,0.5,7.333333333333334
2026-06-26 14:00:00,station_bangalore_01,Bangalore,8.5,5.0,4.9,61.0,29.1,47,16.8,W,1.1,8.333333333333334
2026-06-26 15:00:00,station_bangalore_01,Bangalore,8.7,6.4,7.6,58.0,29.0,49,16.5,W,0.6,10.666666666666666
2026-06-26 16:00:00,station_bangalore_01,Bangalore,8.9,6.6,11.4,55.0,28.7,49,16.9,W,0.8,11.0
2026-06-26 17:00:00,station_bangalore_01,Bangalore,14.3,9.6,18.3,49.0,26.5,63,12.6,W,0.1,16.0
2026-06-26 18:00:00,station_bangalore_01,Bangalore,16.9,12.6,22.3,44.0,25.2,73,9.0,SW,0.0,21.0
2026-06-26 19:00:00,station_bangalore_01,Bangalore,17.1,13.4,27.8,37.0,24.4,76,10.5,SW,0.0,22.333333333333332
2026-06-26 20:00:00,station_bangalore_01,Bangalore,16.7,13.4,30.8,32.0,23.9,76,10.3,W,0.0,22.333333333333332
2026-06-26 21:00:00,station_bangalore_01,Bangalore,16.1,13.0,29.3,31.0,23.2,79,9.6,SW,0.0,21.666666666666668
2026-06-26 22:00:00,station_bangalore_01,Bangalore,15.4,12.4,25.5,33.0,22.7,82,10.3,W,0.0,20.666666666666668
